year,location,Date,percent
2021,"Wilderness
Beaver",2021-07-14T00:00:00Z,0.9
2022,"Wilderness
Beaver",2022-07-18T00:00:00Z,0.9
2023,"Wilderness
Beaver",2023-07-03T00:00:00Z,0.9
2017,Warner,2017-06-23T00:00:00Z,0.9
2017,Railtracks,2017-06-29T00:00:00Z,0.9
2017,Elephant,2017-06-23T00:00:00Z,0.9
2018,Elephant,2018-06-22T00:00:00Z,0.9
2018,Warner,2018-06-22T00:00:00Z,0.9
2018,Railtracks,2018-06-25T00:00:00Z,0.9
2019,Elephant,2019-06-24T00:00:00Z,0.9
2019,Warner,2019-07-03T00:00:00Z,0.9
2019,Railtracks,2019-06-19T00:00:00Z,0.9
